X.chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr9	123423246	123423404	14733404	14733410	Blood_Granulocytes	chr9:123423246-123423404	6CpGs	158bp	0.127	0.909	0.782	0.597	0.408	5.34e-53	U
chr9	123425432	123425469	14733436	14733444	Thyroid_Epithelium	chr9:123425432-123425469	8CpGs	37bp	0.0582	0.932	0.873	0.714	0.415	4.75e-66	U
chr9	123467569	123467612	14733979	14733983	Liver_Hepatocytes	chr9:123467569-123467612	4CpGs	43bp	0.0594	0.933	0.873	0.701	0.288	1.15e-80	U
chr9	123475657	123475828	14734131	14734138	Pancreas_Delta_cells	chr9:123475657-123475828	7CpGs	171bp	0.274	0.927	0.653	0.408	-0.055	1.52e-31	U
chr9	123521031	123521171	14734670	14734676	Lung_Bronchial_Epithelium	chr9:123521031-123521171	6CpGs	140bp	0.132	0.937	0.806	0.645	0.26	8.7e-70	U
chr9	123597153	123597312	14735403	14735407	Colon_Epithelium	chr9:123597153-123597312	4CpGs	159bp	0.0523	0.928	0.875	0.672	0.0721	5.34e-58	U
chr9	123606001	123606430	14735472	14735481	Thyroid_Epithelium	chr9:123606001-123606430	9CpGs	429bp	0.0449	0.918	0.873	0.73	0.675	5.3e-74	U
chr9	123608183	123608638	14735493	14735503	Blood_B_cells	chr9:123608183-123608638	10CpGs	455bp	0.134	0.913	0.779	0.559	0.259	1.72e-63	U
chr9	123614438	123614655	14735549	14735552	Lung_Bronchial_Epithelium	chr9:123614438-123614655	3CpGs	217bp	0.189	0.91	0.721	0.423	0.147	1.04e-32	U
chr9	123625658	123625908	14735660	14735665	Pancreas_Duct_cells	chr9:123625658-123625908	5CpGs	250bp	0.235	0.924	0.689	0.37	-0.307	7.27e-35	U
chr9	123654413	123654856	14735971	14735979	Neurons	chr9:123654413-123654856	8CpGs	443bp	0.309	0.927	0.618	0.413	-0.0267	2.9e-76	U
chr9	123832982	123833104	14737265	14737272	Monocytes_Macrophages	chr9:123832982-123833104	7CpGs	122bp	0.31	0.926	0.616	0.451	-0.451	4.55e-44	U
chr9	123960261	123960460	14738549	14738553	Dermal_Fibroblasts	chr9:123960261-123960460	4CpGs	199bp	0.328	0.897	0.57	0.389	0.282	1.73e-200	U
chr9	123988170	123988355	14738931	14738935	Epidermal_Keratinocytes	chr9:123988170-123988355	4CpGs	185bp	0.173	0.901	0.728	0.556	0.443	9.91e-214	U
chr9	124256981	124257172	14743313	14743321	Ovary_Endometrial_Epithelium	chr9:124256981-124257172	8CpGs	191bp	0.236	0.892	0.656	0.415	-0.0234	4.49e-41	U
chr9	124290091	124290133	14744138	14744143	Blood_B_cells	chr9:124290091-124290133	5CpGs	42bp	0.0679	0.863	0.795	0.585	0.36	1.71e-53	U
chr9	124298911	124299022	14744323	14744326	Pancreas_Duct_cells	chr9:124298911-124299022	3CpGs	111bp	0.111	0.875	0.764	0.516	0.0201	9.26e-31	U
chr9	124299060	124299198	14744327	14744331	Pancreas_Duct_cells	chr9:124299060-124299198	4CpGs	138bp	0.204	0.883	0.678	0.4	0.202	8.98e-37	U
chr9	124351630	124351718	14745530	14745533	Blood_Granulocytes	chr9:124351630-124351718	3CpGs	88bp	0.0393	0.916	0.877	0.738	0.599	1.24e-74	U
chr9	124358062	124358290	14745651	14745659	Thyroid_Epithelium	chr9:124358062-124358290	8CpGs	228bp	0.137	0.932	0.795	0.723	0.686	1.38e-123	U
chr9	124472168	124472200	14747381	14747385	Blood_Granulocytes	chr9:124472168-124472200	4CpGs	32bp	0.0625	0.884	0.821	0.664	0.552	3.78e-58	U
chr9	124557189	124557260	14749043	14749047	Lung_Bronchial_Epithelium	chr9:124557189-124557260	4CpGs	71bp	0.116	0.925	0.809	0.575	0.266	9.61e-46	U
chr9	124695310	124695662	14750312	14750324	Thyroid_Epithelium	chr9:124695310-124695662	12CpGs	352bp	0.065	0.923	0.858	0.698	0.334	5.2e-62	U
chr9	124823894	124824046	14752151	14752158	Bone_Osteoblasts	chr9:124823894-124824046	7CpGs	152bp	0.164	0.898	0.734	0.532	0.286	4.13e-209	U
chr9	124842900	124843098	14752509	14752517	Head_Neck_Epithelium	chr9:124842900-124843098	8CpGs	198bp	0.161	0.909	0.748	0.541	-0.456	5.23e-70	U
chr9	125176918	125177616	14757054	14757077	Adipocytes	chr9:125176918-125177616	23CpGs	698bp	0.387	0.917	0.531	0.375	-0.266	1.56e-16	U
chr9	125188101	125188152	14757197	14757201	Lung_Bronchial_Epithelium	chr9:125188101-125188152	4CpGs	51bp	0.069	0.883	0.814	0.616	-0.0186	6.65e-30	U
chr9	125266907	125267051	14758782	14758786	Head_Neck_Epithelium	chr9:125266907-125267051	4CpGs	144bp	0.108	0.913	0.805	0.544	-0.182	9.82e-62	U
chr9	125437750	125437924	14761452	14761461	Thyroid_Epithelium	chr9:125437750-125437924	9CpGs	174bp	0.0416	0.889	0.847	0.674	0.644	1.99e-50	U
chr9	125437964	125438146	14761462	14761468	Thyroid_Epithelium	chr9:125437964-125438146	6CpGs	182bp	0.0265	0.902	0.875	0.648	0.582	2.08e-49	U
chr9	125446669	125446803	14761626	14761630	Blood_B_cells	chr9:125446669-125446803	4CpGs	134bp	0.0873	0.906	0.819	0.623	0.276	3.39e-66	U
chr9	125585563	125585934	14763138	14763148	Liver_Hepatocytes	chr9:125585563-125585934	10CpGs	371bp	0.0935	0.95	0.856	0.753	0.524	1.8e-130	U
chr9	125596945	125597059	14763272	14763278	Head_Neck_Epithelium	chr9:125596945-125597059	6CpGs	114bp	0.173	0.946	0.773	0.559	0.207	1.86e-106	U
chr9	125654173	125654366	14763896	14763900	Oligodendrocytes	chr9:125654173-125654366	4CpGs	193bp	0.0753	0.93	0.855	0.666	0.384	1.42e-72	U
chr9	125678463	125678777	14764109	14764118	Lung_Bronchial_Epithelium	chr9:125678463-125678777	9CpGs	314bp	0.174	0.907	0.732	0.441	-0.09	3.73e-25	U
chr9	125705460	125705768	14764434	14764439	Gastric_Epithelium	chr9:125705460-125705768	5CpGs	308bp	0.0899	0.926	0.836	0.702	0.433	5.43e-116	U
chr9	125762538	125762817	14765453	14765459	Pancreas_Duct_cells	chr9:125762538-125762817	6CpGs	279bp	0.211	0.915	0.705	0.374	0.149	4.3e-36	U
chr9	125772130	125772702	14765509	14765514	Pancreas_Duct_cells	chr9:125772130-125772702	5CpGs	572bp	0.323	0.93	0.607	0.407	0.172	4.62e-52	U
chr9	125956891	125957403	14766979	14766984	Pancreas_Delta_cells	chr9:125956891-125957403	5CpGs	512bp	0.343	0.885	0.542	0.284	-0.0586	2.97e-17	U
chr9	125965391	125965570	14767043	14767047	Head_Neck_Epithelium	chr9:125965391-125965570	4CpGs	179bp	0.222	0.918	0.696	0.61	-0.0999	1.64e-72	U
chr9	126206408	126206445	14770276	14770280	Epidermal_Keratinocytes	chr9:126206408-126206445	4CpGs	37bp	0.062	0.862	0.8	0.56	0.429	1.18e-198	U
chr9	126381056	126381502	14772349	14772356	Pancreas_Delta_cells	chr9:126381056-126381502	7CpGs	446bp	0.124	0.883	0.76	0.455	0.34	7.15e-35	U
chr9	126405258	126405350	14772719	14772725	Oligodendrocytes	chr9:126405258-126405350	6CpGs	92bp	0.0889	0.92	0.831	0.642	0.517	2.71e-83	U
chr9	126410600	126410678	14772812	14772816	Head_Neck_Epithelium	chr9:126410600-126410678	4CpGs	78bp	0.247	0.937	0.69	0.536	-0.101	2.34e-93	U
chr9	126415541	126415745	14772880	14772885	Lung_Bronchial_Epithelium	chr9:126415541-126415745	5CpGs	204bp	0.249	0.908	0.659	0.409	-0.0151	4.18e-30	U
chr9	126456842	126457158	14773410	14773421	Heart_Fibroblasts	chr9:126456842-126457158	11CpGs	316bp	0.214	0.882	0.669	0.398	-0.197	8.77e-24	U
chr9	126604971	126605057	14776064	14776068	Heart_Fibroblasts	chr9:126604971-126605057	4CpGs	86bp	0.215	0.901	0.686	0.441	0.178	1.42e-40	U
chr9	127062288	127062512	14783394	14783401	Bladder_Epithelial_cells	chr9:127062288-127062512	7CpGs	224bp	0.257	0.916	0.658	0.403	-0.017	2.4e-43	U
chr9	127106633	127107208	14783816	14783819	Neurons	chr9:127106633-127107208	3CpGs	575bp	0.304	0.93	0.626	0.315	-0.477	1.73e-44	U
chr9	127265256	127266372	14785891	14785898	Neurons	chr9:127265256-127266372	7CpGs	1116bp	0.337	0.907	0.57	0.324	-0.227	5.39e-59	U
chr9	127394523	127394701	14787143	14787149	Lung_Bronchial_Epithelium	chr9:127394523-127394701	6CpGs	178bp	0.294	0.919	0.626	0.481	0.296	8.8e-50	U
chr9	127464310	127464381	14788598	14788602	Pancreas_Delta_cells	chr9:127464310-127464381	4CpGs	71bp	0.0902	0.926	0.836	0.556	0.371	1.67e-45	U
chr9	127464422	127464619	14788604	14788610	Pancreas_Delta_cells	chr9:127464422-127464619	6CpGs	197bp	0.077	0.933	0.856	0.703	0.63	3.24e-88	U
chr9	127492438	127492677	14789071	14789075	Pancreas_Delta_cells	chr9:127492438-127492677	4CpGs	239bp	0.386	0.92	0.534	0.338	0.111	1.54e-27	U
chr9	127492712	127492872	14789076	14789086	Pancreas_Delta_cells	chr9:127492712-127492872	10CpGs	160bp	0.361	0.86	0.5	0.254	-0.327	1.9e-12	U
chr9	127499652	127499857	14789230	14789239	Lung_Bronchial_Epithelium	chr9:127499652-127499857	9CpGs	205bp	0.305	0.92	0.615	0.451	0.328	1.27e-50	U
chr9	127533405	127533929	14789991	14790004	Fallopian_Epithelium	chr9:127533405-127533929	13CpGs	524bp	0.188	0.917	0.729	0.519	0.293	6.35e-43	U
chr9	127676624	127676856	14792414	14792425	Neurons	chr9:127676624-127676856	11CpGs	232bp	0.308	0.893	0.584	0.351	-0.302	1.62e-49	U
chr9	127693222	127693395	14792708	14792713	Neurons	chr9:127693222-127693395	5CpGs	173bp	0.236	0.889	0.653	0.514	-0.0246	6.74e-76	U
chr9	127749574	127749661	14794033	14794042	Blood_Granulocytes	chr9:127749574-127749661	9CpGs	87bp	0.229	0.903	0.674	0.539	0.469	2.02e-62	U
chr9	127789241	127789349	14795062	14795070	Liver_Hepatocytes	chr9:127789241-127789349	8CpGs	108bp	0.124	0.931	0.807	0.691	0.238	6.95e-100	U
chr9	127841446	127841655	14796201	14796207	Erythrocyte_progenitors	chr9:127841446-127841655	6CpGs	209bp	0.0229	0.887	0.864	0.622	0.527	3.09e-44	U
chr9	127939405	127939942	14798626	14798638	Erythrocyte_progenitors	chr9:127939405-127939942	12CpGs	537bp	0.149	0.899	0.751	0.655	0.591	3.12e-83	U
chr9	128014397	128014741	14800090	14800104	Bone_Osteoblasts	chr9:128014397-128014741	14CpGs	344bp	0.182	0.922	0.74	0.578	0.308	3.07e-214	U
chr9	128053501	128053921	14800725	14800740	Monocytes_Macrophages	chr9:128053501-128053921	15CpGs	420bp	0.173	0.9	0.727	0.534	-0.319	4.73e-56	U
chr9	128063484	128063659	14800908	14800918	Liver_Hepatocytes	chr9:128063484-128063659	10CpGs	175bp	0.18	0.935	0.754	0.667	0.376	2.79e-124	U
chr9	128077465	128077645	14801340	14801347	Gallbladder_epithelium	chr9:128077465-128077645	7CpGs	180bp	0.103	0.925	0.822	0.66	0.255	9.12e-216	U
chr9	128092416	128092660	14801601	14801612	Neurons	chr9:128092416-128092660	11CpGs	244bp	0.342	0.914	0.572	0.317	-0.271	2.42e-47	U
chr9	128106230	128106446	14801905	14801916	Breast_Basal_Epithelium	chr9:128106230-128106446	11CpGs	216bp	0.213	0.915	0.702	0.505	-0.296	7.47e-38	U
chr9	128143077	128143267	14802869	14802877	Blood_Granulocytes	chr9:128143077-128143267	8CpGs	190bp	0.178	0.932	0.754	0.65	0.595	7.06e-93	U
chr9	128169610	128169861	14803439	14803446	Neurons	chr9:128169610-128169861	7CpGs	251bp	0.302	0.857	0.556	0.356	-0.619	1.91e-34	U
chr9	128176435	128176841	14803563	14803571	Epidermal_Keratinocytes	chr9:128176435-128176841	8CpGs	406bp	0.192	0.93	0.738	0.576	0.411	2.87e-228	U
chr9	128182843	128183379	14803691	14803698	Head_Neck_Epithelium	chr9:128182843-128183379	7CpGs	536bp	0.208	0.921	0.713	0.594	-0.46	5.53e-80	U
chr9	128228622	128228854	14804716	14804721	Bone_Osteoblasts	chr9:128228622-128228854	5CpGs	232bp	0.229	0.898	0.67	0.551	0.301	1.43e-211	U
chr9	128328559	128328703	14806876	14806881	Bladder_Epithelial_cells	chr9:128328559-128328703	5CpGs	144bp	0.166	0.883	0.717	0.463	0.143	5.27e-43	U
chr9	128374270	128374317	14807915	14807918	Oligodendrocytes	chr9:128374270-128374317	3CpGs	47bp	0.0516	0.901	0.849	0.656	0.592	2.42e-68	U
chr9	128374548	128374904	14807919	14807927	Oligodendrocytes	chr9:128374548-128374904	8CpGs	356bp	0.0481	0.916	0.868	0.692	0.471	2.81e-77	U
chr9	128390957	128391624	14808188	14808194	Oligodendrocytes	chr9:128390957-128391624	6CpGs	667bp	0.0555	0.925	0.869	0.745	0.494	3.33e-94	U
chr9	128392004	128392129	14808198	14808209	Oligodendrocytes	chr9:128392004-128392129	11CpGs	125bp	0.0962	0.92	0.824	0.669	0.337	3.09e-85	U
chr9	128555938	128556078	14811604	14811608	Neurons	chr9:128555938-128556078	4CpGs	140bp	0.29	0.901	0.611	0.319	-0.385	5.65e-47	U
chr9	128805845	128806028	14817092	14817102	Oligodendrocytes	chr9:128805845-128806028	10CpGs	183bp	0.122	0.929	0.807	0.66	0.354	1.63e-76	U
chr9	128919462	128919476	14819624	14819627	Liver_Hepatocytes	chr9:128919462-128919476	3CpGs	14bp	0.062	0.929	0.867	0.686	-0.0628	3.6e-57	U
chr9	128991699	128992133	14820974	14820992	Gastric_Epithelium	chr9:128991699-128992133	18CpGs	434bp	0.0804	0.904	0.824	0.642	-0.117	2.29e-53	U
chr9	129023259	129023319	14821610	14821614	Erythrocyte_progenitors	chr9:129023259-129023319	4CpGs	60bp	0.0406	0.917	0.876	0.687	0.131	1.48e-40	U
chr9	129033756	129033919	14821897	14821905	Small_intestine_Epithelium	chr9:129033756-129033919	8CpGs	163bp	0.177	0.911	0.735	0.568	-0.0407	1.07e-46	U
chr9	129045015	129045138	14822218	14822223	Thyroid_Epithelium	chr9:129045015-129045138	5CpGs	123bp	0.165	0.907	0.743	0.623	0.424	1.29e-61	U
chr9	129070295	129070414	14822807	14822821	Erythrocyte_progenitors	chr9:129070295-129070414	14CpGs	119bp	0.119	0.929	0.81	0.673	0.264	4.54e-54	U
chr9	129088981	129089485	14823273	14823288	Liver_Hepatocytes	chr9:129088981-129089485	15CpGs	504bp	0.188	0.936	0.749	0.727	0.18	2.81e-99	U
chr9	129089633	129089894	14823292	14823303	Liver_Hepatocytes	chr9:129089633-129089894	11CpGs	261bp	0.173	0.919	0.746	0.67	0.0942	2e-84	U
chr9	129094852	129095218	14823410	14823423	Pancreas_Acinar_cells	chr9:129094852-129095218	13CpGs	366bp	0.0538	0.909	0.855	0.74	0.618	1.48e-94	U
chr9	129127629	129127685	14824214	14824217	Blood_Granulocytes	chr9:129127629-129127685	3CpGs	56bp	0.0419	0.901	0.859	0.645	0.428	1.46e-43	U
chr9	129203658	129203722	14825997	14826002	Head_Neck_Epithelium	chr9:129203658-129203722	5CpGs	64bp	0.286	0.943	0.656	0.565	-0.687	2.9e-70	U
chr9	129207006	129207236	14826055	14826060	Blood_T_cells	chr9:129207006-129207236	5CpGs	230bp	0.276	0.903	0.626	0.334	-0.551	9.09e-59	U
chr9	129274284	129274322	14827303	14827306	Monocytes_Macrophages	chr9:129274284-129274322	3CpGs	38bp	0.17	0.909	0.739	0.544	-0.0243	3.18e-78	U
chr9	129286237	129286309	14827565	14827571	Ovary_Endometrial_Epithelium	chr9:129286237-129286309	6CpGs	72bp	0.245	0.928	0.683	0.493	0.187	1.47e-63	U
chr9	129517111	129517359	14832540	14832547	Breast_Basal_Epithelium	chr9:129517111-129517359	7CpGs	248bp	0.0862	0.909	0.823	0.613	0.0964	6.36e-47	U
chr9	129523752	129524105	14832622	14832631	Blood_Granulocytes	chr9:129523752-129524105	9CpGs	353bp	0.124	0.924	0.8	0.594	0.441	2.51e-53	U
chr9	129650045	129650100	14835606	14835614	Dermal_Fibroblasts	chr9:129650045-129650100	8CpGs	55bp	0.203	0.867	0.664	0.423	-0.0316	1.07e-169	U
chr9	129681774	129681857	14836444	14836448	Dermal_Fibroblasts	chr9:129681774-129681857	4CpGs	83bp	0.341	0.903	0.562	0.373	0.0168	2.63e-179	U
chr9	129755539	129755617	14838135	14838138	Fallopian_Epithelium	chr9:129755539-129755617	3CpGs	78bp	0.0292	0.875	0.846	0.672	0.304	1.57e-45	U
chr9	129826043	129826170	14839614	14839619	Pancreas_Alpha_cells	chr9:129826043-129826170	5CpGs	127bp	0.224	0.906	0.682	0.467	-0.0884	3.55e-28	U
chr9	129862539	129862686	14840233	14840240	Erythrocyte_progenitors	chr9:129862539-129862686	7CpGs	147bp	0.158	0.915	0.757	0.64	0.552	5.19e-90	U
chr9	129868911	129869097	14840396	14840409	Blood_T_cells	chr9:129868911-129869097	13CpGs	186bp	0.135	0.895	0.76	0.549	-0.139	6.21e-85	U
chr9	129871343	129871630	14840463	14840471	Fallopian_Epithelium	chr9:129871343-129871630	8CpGs	287bp	0.183	0.931	0.748	0.632	-0.203	1.07e-29	U
chr9	129878967	129879157	14840676	14840684	Blood_NK_cells	chr9:129878967-129879157	8CpGs	190bp	0.29	0.895	0.605	0.306	-0.402	1.71e-15	U
chr9	129889780	129889876	14841017	14841024	Blood_T_cells	chr9:129889780-129889876	7CpGs	96bp	0.204	0.906	0.702	0.51	-0.0725	5.98e-88	U
chr9	129944438	129944527	14841897	14841902	Blood_T_cells	chr9:129944438-129944527	5CpGs	89bp	0.3	0.921	0.621	0.311	-0.303	7.48e-76	U
chr9	129961590	129961637	14842126	14842130	Monocytes_Macrophages	chr9:129961590-129961637	4CpGs	47bp	0.323	0.953	0.63	0.449	0.104	1.24e-101	U
chr9	130049540	130049676	14843588	14843595	Thyroid_Epithelium	chr9:130049540-130049676	7CpGs	136bp	0.0667	0.917	0.851	0.687	0.545	1.23e-74	U
chr9	130050036	130050360	14843596	14843600	Thyroid_Epithelium	chr9:130050036-130050360	4CpGs	324bp	0.0188	0.87	0.851	0.7	0.426	1.68e-49	U
chr9	130059285	130059411	14843821	14843827	Colon_Epithelium	chr9:130059285-130059411	6CpGs	126bp	0.188	0.954	0.766	0.599	0.336	1.85e-123	U
chr9	130174393	130174606	14845962	14845968	Neurons	chr9:130174393-130174606	6CpGs	213bp	0.287	0.915	0.627	0.381	-0.00733	1.95e-65	U
chr9	130233260	130233295	14847242	14847247	Neurons	chr9:130233260-130233295	5CpGs	35bp	0.335	0.922	0.587	0.402	-0.181	5.68e-71	U
chr9	130235886	130235956	14847320	14847326	Neurons	chr9:130235886-130235956	6CpGs	70bp	0.221	0.899	0.677	0.395	0.0712	1.7e-62	U
chr9	130238823	130239018	14847405	14847411	Thyroid_Epithelium	chr9:130238823-130239018	6CpGs	195bp	0.0678	0.877	0.809	0.666	0.596	8.56e-63	U
chr9	130239069	130239127	14847411	14847418	Thyroid_Epithelium	chr9:130239069-130239127	7CpGs	58bp	0.227	0.938	0.711	0.615	0.523	3.9e-99	U
chr9	130257310	130257331	14847721	14847724	Colon_Epithelium	chr9:130257310-130257331	3CpGs	21bp	0.0401	0.922	0.882	0.576	0.182	1.05e-59	U
chr9	130271162	130271326	14848010	14848015	Skeletal-Muscle	chr9:130271162-130271326	5CpGs	164bp	0.378	0.868	0.49	0.235	-0.176	1.49e-10	U
chr9	130443087	130443372	14851464	14851469	Liver_Hepatocytes	chr9:130443087-130443372	5CpGs	285bp	0.093	0.928	0.835	0.71	0.473	8.74e-98	U
chr9	130491302	130491366	14852620	14852626	Ovary_Endometrial_Epithelium	chr9:130491302-130491366	6CpGs	64bp	0.232	0.884	0.652	0.362	-0.0484	3.23e-35	U
chr9	130576685	130576748	14854128	14854131	Pancreas_Alpha_cells	chr9:130576685-130576748	3CpGs	63bp	0.208	0.858	0.65	0.376	0.0765	1.87e-26	U
chr9	130597798	130598661	14854470	14854481	Liver_Hepatocytes	chr9:130597798-130598661	11CpGs	863bp	0.0697	0.911	0.842	0.701	0.489	4.4e-102	U
chr9	130598960	130599120	14854482	14854490	Liver_Hepatocytes	chr9:130598960-130599120	8CpGs	160bp	0.104	0.931	0.827	0.757	0.581	1.06e-140	U
chr9	130616365	130616596	14854710	14854721	Small_intestine_Epithelium	chr9:130616365-130616596	11CpGs	231bp	0.175	0.916	0.74	0.499	-0.074	6.38e-40	U
chr9	130797782	130798409	14858511	14858515	Pancreas_Delta_cells	chr9:130797782-130798409	4CpGs	627bp	0.382	0.892	0.51	0.295	0.143	1.53e-23	U
chr9	130864979	130865327	14859580	14859585	Pancreas_Delta_cells	chr9:130864979-130865327	5CpGs	348bp	0.264	0.893	0.629	0.365	0.196	3.59e-28	U
chr9	130990612	130990641	14862841	14862845	Skeletal-Muscle	chr9:130990612-130990641	4CpGs	29bp	0.359	0.834	0.475	0.275	0.171	1.85e-12	U
chr9	131092521	131092656	14865043	14865047	Breast_Luminal_Epithelium	chr9:131092521-131092656	4CpGs	135bp	0.206	0.876	0.67	0.373	0.189	1.36e-29	U
chr9	131234490	131235102	14866989	14867001	Heart_Cardiomyocytes	chr9:131234490-131235102	12CpGs	612bp	0.0472	0.901	0.854	0.686	0.547	1.06e-90	U
chr9	131235312	131235470	14867004	14867009	Heart_Cardiomyocytes	chr9:131235312-131235470	5CpGs	158bp	0.0423	0.915	0.873	0.68	0.39	1.84e-77	U
chr9	131235699	131236192	14867012	14867028	Heart_Cardiomyocytes	chr9:131235699-131236192	16CpGs	493bp	0.0576	0.927	0.869	0.763	0.695	7.6e-133	U
chr9	131261006	131261179	14867635	14867646	Heart_Cardiomyocytes	chr9:131261006-131261179	11CpGs	173bp	0.124	0.923	0.798	0.725	0.637	1.23e-134	U
chr9	131291199	131291292	14868592	14868598	Heart_Cardiomyocytes	chr9:131291199-131291292	6CpGs	93bp	0.0616	0.911	0.849	0.686	0.213	9.05e-76	U
chr9	131304806	131305051	14868851	14868857	Bladder_Epithelial_cells	chr9:131304806-131305051	6CpGs	245bp	0.216	0.841	0.624	0.42	0.101	7.58e-39	U
chr9	131323861	131324288	14869345	14869359	Pancreas_Acinar_cells	chr9:131323861-131324288	14CpGs	427bp	0.0519	0.876	0.824	0.673	0.571	2.72e-65	U
chr9	131475387	131475766	14872276	14872302	Breast_Basal_Epithelium	chr9:131475387-131475766	26CpGs	379bp	0.224	0.928	0.704	0.581	0.483	7.97e-109	U
chr9	131604375	131604496	14875519	14875523	Heart_Cardiomyocytes	chr9:131604375-131604496	4CpGs	121bp	0.0807	0.944	0.864	0.72	0.502	2.86e-107	U
chr9	131648117	131648323	14876285	14876292	Thyroid_Epithelium	chr9:131648117-131648323	7CpGs	206bp	0.0958	0.911	0.815	0.607	0.395	3.96e-50	U
chr9	131666859	131667083	14876535	14876542	Blood_T_cells	chr9:131666859-131667083	7CpGs	224bp	0.104	0.919	0.815	0.518	-0.128	3.87e-78	U
chr9	131725448	131725512	14877346	14877349	Blood_B_cells	chr9:131725448-131725512	3CpGs	64bp	0.128	0.94	0.812	0.567	0.418	9.88e-78	U
chr9	131958809	131959322	14881269	14881278	Heart_Cardiomyocytes	chr9:131958809-131959322	9CpGs	513bp	0.106	0.926	0.82	0.677	0.593	1.65e-119	U
chr9	131961464	131961849	14881307	14881314	Oligodendrocytes	chr9:131961464-131961849	7CpGs	385bp	0.101	0.945	0.844	0.712	0.462	1.07e-101	U
chr9	131991924	131992013	14881621	14881627	Pancreas_Beta_cells	chr9:131991924-131992013	6CpGs	89bp	0.0804	0.937	0.857	0.725	0.254	3.24e-49	U
chr9	132037229	132037364	14882071	14882075	Pancreas_Alpha_cells	chr9:132037229-132037364	4CpGs	135bp	0.203	0.917	0.713	0.424	0.242	7.61e-33	U
chr9	132243243	132243505	14885988	14885996	Pancreas_Acinar_cells	chr9:132243243-132243505	8CpGs	262bp	0.0707	0.893	0.822	0.657	0.545	1.13e-67	U
chr9	132265386	132265524	14886436	14886443	Heart_Cardiomyocytes	chr9:132265386-132265524	7CpGs	138bp	0.189	0.943	0.754	0.661	0.435	6.55e-114	U
chr9	132283403	132283619	14886639	14886642	Pancreas_Duct_cells	chr9:132283403-132283619	3CpGs	216bp	0.107	0.905	0.798	0.626	0.15	4.08e-41	U
chr9	132320105	132320347	14887086	14887093	Heart_Cardiomyocytes	chr9:132320105-132320347	7CpGs	242bp	0.235	0.952	0.718	0.647	0.559	1.08e-147	U
chr9	132361239	132361399	14887730	14887735	Monocytes_Macrophages	chr9:132361239-132361399	5CpGs	160bp	0.183	0.896	0.712	0.537	-0.324	1.43e-54	U
chr9	132383526	132383571	14888046	14888049	Blood_B_cells	chr9:132383526-132383571	3CpGs	45bp	0.0518	0.94	0.888	0.713	0.313	5.04e-84	U
chr9	132401637	132402103	14888385	14888390	Thyroid_Epithelium	chr9:132401637-132402103	5CpGs	466bp	0.194	0.941	0.747	0.603	0.442	2.41e-77	U
chr9	132541073	132541155	14891105	14891108	Bone_Osteoblasts	chr9:132541073-132541155	3CpGs	82bp	0.153	0.901	0.748	0.578	0.408	1.74e-212	U
chr9	132557253	132557374	14891449	14891456	Kidney_Epithelium	chr9:132557253-132557374	7CpGs	121bp	0.207	0.843	0.636	0.361	-0.13	8.27e-39	U
chr9	132606381	132606492	14892723	14892730	Small_intestine_Epithelium	chr9:132606381-132606492	7CpGs	111bp	0.122	0.872	0.75	0.532	0.41	3.23e-48	U
chr9	132610778	132610959	14892811	14892818	Fallopian_Epithelium	chr9:132610778-132610959	7CpGs	181bp	0.104	0.92	0.816	0.686	0.135	2.96e-56	U
chr9	132611291	132611365	14892827	14892832	Fallopian_Epithelium	chr9:132611291-132611365	5CpGs	74bp	0.0659	0.915	0.849	0.6	0.0169	4.32e-32	U
chr9	132641528	132641705	14893264	14893269	Breast_Basal_Epithelium	chr9:132641528-132641705	5CpGs	177bp	0.0789	0.891	0.812	0.584	0.131	1.74e-41	U
chr9	132644630	132644692	14893305	14893310	Pancreas_Delta_cells	chr9:132644630-132644692	5CpGs	62bp	0.371	0.924	0.554	0.369	-0.226	1.56e-24	U
chr9	132849803	132849871	14896525	14896530	Fallopian_Epithelium	chr9:132849803-132849871	5CpGs	68bp	0.0635	0.911	0.847	0.604	-0.00272	2.98e-35	U
chr9	132874452	132874674	14896941	14896948	Ovary_Endometrial_Epithelium	chr9:132874452-132874674	7CpGs	222bp	0.201	0.906	0.705	0.475	-0.0972	3.02e-37	U
chr9	132888054	132888281	14897282	14897288	Blood_B_cells	chr9:132888054-132888281	6CpGs	227bp	0.16	0.893	0.733	0.574	0.47	1.11e-79	U
chr9	132888326	132888636	14897288	14897304	Blood_B_cells	chr9:132888326-132888636	16CpGs	310bp	0.239	0.938	0.699	0.542	0.267	7.76e-102	U
chr9	132898474	132898698	14897459	14897468	Oligodendrocytes	chr9:132898474-132898698	9CpGs	224bp	0.132	0.928	0.797	0.693	0.279	8.72e-65	U
chr9	132927243	132928012	14897787	14897797	Colon_Epithelium	chr9:132927243-132928012	10CpGs	769bp	0.0782	0.928	0.85	0.668	0.0634	3.88e-63	U
chr9	132991000	132991090	14898778	14898786	Blood_NK_cells	chr9:132991000-132991090	8CpGs	90bp	0.308	0.905	0.598	0.287	-0.0424	8.02e-26	U
chr9	133051401	133052114	14899916	14899937	Pancreas_Acinar_cells	chr9:133051401-133052114	21CpGs	713bp	0.0998	0.922	0.822	0.656	0.575	4.81e-85	U
